year,Households with dependent children,Households without dependent children
2002,51.82666666666667,28.68
2003,53.892727272727264,33.29
2004,46.37380952380953,27.38695652173913
2005,57.77782608695652,38.69083333333334
2006,59.78592592592593,41.66407407407408
2007,66.46592592592593,46.31935483870968
2008,71.68566666666668,50.855
2009,79.07,55.8553125
2010,83.35125000000001,60.249062499999994
2011,88.41933333333333,65.52866666666667
2012,88.08060606060606,67.12818181818182
2013,90.3078125,70.311875
2014,93.536875,73.7709375
2015,94.15806451612903,74.48129032258065
2016,95.71566666666666,77.89566666666666
2017,96.03742857142856,80.04199999999999
2018,96.06166666666667,81.55277777777778
2019,97.01621621621621,84.3913888888889
2020,97.58111111111111,85.98666666666666
2021,98.42057142857144,88.41285714285713
2022,98.84354838709677,89.76451612903226
2023,99.05,90.79029411764705
2024,99.03714285714287,91.80457142857142
2025,98.99235294117646,92.81970588235293
